Asset,Accuracy,Precision,Recall,Win Rate,Total P&L,Trades
Brent,0.4538152610441767,0.417910447761194,0.224,0.4538152610441767,4271.167884941865,249
HeatingOil,0.415625,0.48502994011976047,0.44505494505494503,0.415625,4233.480905463992,320
WTI,0.4887459807073955,0.5675675675675675,0.12804878048780488,0.4887459807073955,6116.740704226073,311
NaturalGas,0.5643939393939394,0.574468085106383,0.4186046511627907,0.5643939393939394,9901.237546283086,264
